SKU,price,store_id,Offer Promo On List Page,Offer Info,Special Offer Attribute
FODINDULNUT,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODCAMSLICE,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODFUGBROW,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODSUPERBUTTER,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODCASHBUT,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODALMONDB,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODALMS,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODCASH,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODCOCO,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODGOJI,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODMULBERRY,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODBILT,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODJERKY,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODSNACKERS,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
BAKNUTTY,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
WAOCRISP,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
FODCOOKIES,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
PILBCAA,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
PILVITBULTRA,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
PILELWOMAN,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
POWISURGE,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
POWTMASS,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
POWRECOV,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
POWNAKED97,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
ACCHOODIE,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
ACCLIMITEE,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
ACCPILLBOX,,1,list_page_500_promo_REWIND5,product_page_promo_block_REWIND5,1599
ACCGRIP,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
ACCPACKNSTACK,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
ACCSPORTSBOTTLE,,1,list_page_500_promo_REWIND10,product_page_promo_block_REWIND10,1599
